"","Application_Id","Claim_Id","Claim_text","No_sentences","No_words","No_complex_words","No_characters","Percent_complex_words","Av_w_sentence","Av_syllable_w","Flesch_Kincaid_Reading","Flesch_Kincaid_Grade","Gunning_Fog","SMOG","Coleman_Liau","ARI","Lexical_density","Granted"
"1",10981719,1,"A system of interlocking storage bottles comprising: a plurality of storage bottles, each bottle having a storage chamber with an upper surface, a lower surface and at least four generally planar side walls; a central conical ceiling extending upwardly from the upper surface; a cylindrical neck extending from the center of the ceiling and having an opening at its top end; a conical recess in the lower surface of a size sufficient to envelop the ceiling and neck of another storage bottle insertable therein; vertical interlocking means for releasably connecting each side wall to the side wall of another storage bottle stackable adjacent thereto; horizontal interlocking means for releasably connecting the upper surface to the lower surface of another storage bottle disposable thereabove. ",2,123,42,796,0.341463414634146,61.5,2.00813008130081,-25.4753048780487,32.0909349593496,24.7365853658537,29.3081922302512,22.3125203252032,39.8009756097561,NA,"0"
"2",10981719,2,"The system of interlocking storage bottles of claim 1, wherein each storage bottle may be stacked in an upright position above, below or beside another upright storage bottle to form a stable bottle stack. ",2,34,8,206,0.235294117647059,17,0.504065040650406,146.936097560976,-3.0120325203252,6.89411764705882,14.5545925495578,19.8688235294118,15.6070588235294,NA,"0"
"3",10981719,3,"The system of interlocking storage bottles of claim 1, further comprising at least one aperture between adjacent side walls to form a handle.",1,23,5,141,0.217391304347826,23,0.341463414634146,154.602195121951,-2.59073170731707,9.28695652173913,15.9031890086143,20.2952173913044,18.944347826087,NA,"0"
"4",10981719,4,"The system of interlocking storage bottles of claim 1, further comprising a recess in at least one side wall for application thereto of a label.",1,25,5,144,0.2,25,0.357723577235772,151.196585365854,-1.61886178861789,10.08,15.9031890086143,18.1144,18.1996,NA,"0"
"5",10981719,5,"The system of interlocking storage bottles of claim 1, wherein each of the storage bottles is a liquid storage bottle.",1,20,4,118,0.2,20,0.284552845528455,162.461829268293,-4.43227642276423,8.08,14.5545925495578,18.936,16.359,NA,"0"
"6",10981719,6,"The system of interlocking storage bottles of claim 1, wherein each of the storage bottles is blow-molded. ",2,17,4,107,0.235294117647059,8.5,0.24390243902439,177.573353658537,-9.3969512195122,3.49411764705882,11.2081432601887,21.2370588235294,12.4652941176471,NA,"0"
"7",10981719,7,"The system of interlocking storage bottles of claim 1, wherein each of the storage bottles is manufactured of a polyethylene material. ",2,21,6,135,0.285714285714286,10.5,0.341463414634146,167.289695121951,-7.46573170731707,4.31428571428571,13.0238667986669,22.0357142857143,14.0985714285714,NA,"0"
"8",10981719,8,"The system of interlocking storage bottles of claim 1, wherein the size of the storage bottles is selected for use with industry stande drinking water dispensers.",1,26,6,162,0.230769230769231,26,0.390243902439024,147.430365853659,-0.845121951219511,10.4923076923077,17.1224134031937,20.8876923076923,20.9169230769231,NA,"0"
"9",10981719,9,"The system of interlocking storage bottles of claim 1, wherein the vertical interlocking means comprises at least one recess on the side wall for engaging a corresponding protrusion on the side wall of another storage bottle.",1,36,10,225,0.277777777777778,36,0.544715447154472,124.212073170732,4.87764227642277,14.5111111111111,21.1943899229434,21.0041666666667,26.0075,NA,"0"
"10",10981719,10,"The system of interlocking storage bottles of claim 1, wherein the horizontal interlocking means comprises at least one recess in the lower surface of the housing for engaging a corresponding protrusion on the upper surface of another storage bottle.",1,39,12,250,0.307692307692308,39,0.617886178861789,114.976829268293,6.91105691056911,15.7230769230769,22.9186335973337,21.9487179487179,28.2623076923077,NA,"0"
"11",10981719,11,"The system of interlocking storage bottles of claim 1, wherein the neck of each bottle further comprises an extemal thread for attachment thereto of a screw cap. ",2,27,6,162,0.222222222222222,13.5,0.365853658536585,162.181280487805,-6.00792682926829,5.48888888888889,13.0238667986669,19.5177777777778,13.58,NA,"0"
"12",10981719,12,"The system of interlocking storage bottles of claim 1, wherein the bottles in the stack of bottles are _llable with a consumable material.",1,23,4,138,0.173913043478261,23,0.32520325203252,155.977804878049,-2.78260162601626,9.26956521739131,14.5545925495578,19.5269565217391,18.33,NA,"0"
"13",10981719,13,"The system of interlocking storage bottles of claim 1, further comprising a locational transitional _t between the neck of each storage bottle and the conical recess of another storage bottle into which the neck is nested. ",2,36,9,223,0.25,18,0.536585365853659,143.16987804878,-2.23829268292683,7.3,15.247664890283,20.6686111111111,16.7458333333333,NA,"0"
